data_domain,table_name,columns,comments,source,source_url,released_on,updated_on,rows_count,business_metadata
agriculture_and_rural,sa_avg_monthly_total_expenses_receipts_animal_farming_30_days,"f_value, indicator, land_possessedhectares, season, expenses_imputed, expenditure_receipt, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,2790,"Reports average monthly animal farming expenses and receipts over a 30-day period, classified by landholding size and season."
agriculture_and_rural,sa_dist_agri_hh_not_insuring_crop_by_reason_for_selected_crop,"state, indicator, season, sub_indicator, visit, insurance_awareness, f_value, data_source, updated_on, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,3045,"Shows distribution of agricultural households that do not insure crops, with reasons like lack of awareness or access, disaggregated by season and visit."
agriculture_and_rural,sa_dist_agri_hhs_seed_use_by_agency_of_procurement,"f_value, indicator, sub_indicator, season, visit_name, crop, crop_procurement, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,3211,"Details the distribution of seed usage by procurement agency (government, private, etc.), season, and crop type across households."
agriculture_and_rural,sa_dist_hhs_leasing_out_land_and_avg_area_social_group,"f_value, indicator, sub_indicator, season, social_group, ownership_holding, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,3348,"Tracks households leasing out land, average area leased, and social group-wise distribution, helping study land tenure trends."
agriculture_and_rural,sa_dist_of_agri_hhs_reporting_use_of_purchased_seed,"f_value, indicator, sub_indicator, season, quality_seeds, visit, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,4095,"Captures data on households using purchased seeds, quality levels, and season-wise distribution to assess seed market penetration."
agriculture_and_rural,sa_dist_of_hhs_by_hh_classification_for_diff_classes_of_land,"f_value, indicator, social_group, household_classification, land_possessedhectares, household_employment, household_sub_employment, visit_name, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,4464,"Classifies households by social group, employment type, and land possession class to show structural patterns in agricultural household demographics."
agriculture_and_rural,sa_distribution_hhs_leasing_in_land_avg_area_social_group,"f_value, indicator, sub_indicator, season, social_group, ownership_holding, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,5704,"Provides data on leasing-in of land, including social group distribution and average leased area, aiding in land access analysis."
agriculture_and_rural,sa_distribution_loan_outstanding_by_source_of_loan_taken,"f_value, indicator, source_of_loan, season, land_possessedhectares, visit_name, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,6975,"Presents outstanding agricultural loans by loan source (e.g., institutional, informal), land size, and visit, highlighting credit reliance."
agriculture_and_rural,sa_distribution_operational_holdings_by_possession_type,"f_value, indicator, season, ownership_holding, possession_holding, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,4464,"Shows how operational land holdings are distributed by type of possession (e.g., owned, leased), useful for tenure and access studies."
agriculture_and_rural,sa_est_num_of_hhs_for_each_size_class_of_land_possessed,"f_value, indicator, household_classification, land_possessedhectares, visit_name, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,7440,"Estimates the number of households in each landholding class and their classification, useful for studying farm size structure."
agriculture_and_rural,sa_estimated_no_of_hhs_for_different_social_groups,"f_value, indicator, sub_indicator, household_classification, social_group, visit_name, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,9672,"Provides estimates of agricultural households categorized by social groups and household classification, including visit-based survey details."
agriculture_and_rural,sa_no_of_hhs_owning_of_livestock_of_different_types,"f_value, indicator, season, social_group, gender, ownership_holding, stock, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,13392,"Captures the number of households owning livestock by type, season, gender, and social group, indicating ownership levels."
agriculture_and_rural,sa_no_per_1000_distri_of_agri_hhs_reporting_sale_of_crops,"f_value, indicator, sub_indicator, season, visit, insurance_awareness, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,34272,"Reports the number per 1000 agricultural households involved in crop sales, disaggregated by season, sub-indicator, and insurance awareness."
agriculture_and_rural,sa_no_per_hh_operational_holding_by_size_hh_oper_holding,"f_value, indicator, sub_indicator, household_classification, social_group, season, operational_holding, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,13392,"Shows per-household distribution of operational holdings by size, social group, and household classification."
agriculture_and_rural,sa_per_1000_agri_hh_insured_experienced_crop_loss,"f_value, indicator, visit, season, sub_indicator, crop_production, crop_experienced, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,13950,Reflects the number per 1000 insured agricultural households that experienced crop loss during a particular season.
agriculture_and_rural,sa_per_1000_crop_producing_hh_crop_disposal_agency_sale_satisf,"f_value, indicator, season, major_disposal, level_of_satisfaction, subsatisfactory_name, agency, visit_name, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,13950,"Indicates satisfaction levels with crop disposal via various agencies, reported per 1000 crop-producing households."
agriculture_and_rural,sa_perc_dist_of_land_for_hhs_belonging_operational_holding,"f_value, indicator, season, ownership_holding, possession, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,8928,Details percentage distribution of land area for households by operational holding size and ownership status.
agriculture_and_rural,sa_percent_distribution_of_leased_out_land_by_terms_of_lease,"f_value, indicator, season, ownership_holding, terms_lease, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,136080,Provides percentage distribution of leased-out land categorized by terms of lease and ownership status.
GDP,statewise_nsdp,"state, year, nsdp_crores_constant, nsdp_growth_constant_percent, nsdp_crores_current, nsdp_growth_current_percent, date_updated, source_url, source",,,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=NAS&q=NSDP,2025-03-17 00:00:00,2025-07-11 00:00:00,476,"This table contains statewise Net State Domestic Product (NSDP) data in both constant and current prices with growth rates by state and year. Use for queries about state-level economic performance, NSDP values, and state economic growth.
"
GDP,statewise_nsva,"state, industry, sub_industry, is_primary, is_secondary, is_tertiary, year, publication_date, value_constant_lakh, value_current_lakh, data_updated_date, source_url, source",,Ministry of Statistics And Programme Implementation,https://mospi.gov.in/GSVA-NSVA,2025-03-17 00:00:00,2025-07-11 00:00:00,10611,"This table contains statewise Net State Value Added (NSVA) data in constant and current prices by state, industry, sub-industry, and economic sectors (primary, secondary, tertiary). Use for queries about sectoral contribution to state economies and industry-wise state performance."
GDP,statewise_pcnsdp,"state, year, pc_nsdp_crores_constant, pc_nsdp_growth_constant_percent, pc_nsdp_crores_current, pc_nsdp_growth_current_percent, date_updated, source_url, source",,Ministry of Statistics And Programme Implementation,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=NAS&q=NSDP,2025-03-17 00:00:00,2025-07-11 00:00:00,476,"This table contains statewise Net State Value Added (NSVA) data in constant and current prices by state, industry, sub-industry, and economic sectors (primary, secondary, tertiary). Use for queries about sectoral contribution to state economies and industry-wise state performance.
"
enterprise_establishment_surveys,periodic_labour_force_survey,"year, state, gender, age_group, sector, status, religion, social_group, general_education, higher_education, labour_force_participation_rate, labour_force_participation_rate_unit, unemployment_rate, unemployment_rate_unit, worker_population_ratio, worker_population_ratio_unit, data_updated_date, source_url, source",,National Sample Survey Office,https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=plfs,2024-09-23 00:00:00,2025-07-11 00:00:00,74233,"Provides state-wise labor market indicators such as LFPR, unemployment rate, and worker population ratio, disaggregated by gender, age group, sector, education, and social groups. Useful for analyzing employment trends and workforce demographics."
enterprise_establishment_surveys,annual_survey_of_industries,"nic_classification, year, state, sector, indicator, nic_code, nic_description, nic_type, value, unit, data_updated_date, source_url, source, source_extra",,National Sample Survey Office,https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asi,2024-10-24 00:00:00,2025-07-11 00:00:00,2120410,"Captures detailed industry-wise data based on NIC classifications across states and years, including indicators like output, employment, and financial performance. Ideal for analyzing trends in the formal industrial sector."
GDP,other_macro_economic_indicators_daily_data,"date_stamp, nse_snp_cnx_nifty_index, bse_bankex_index, repo_rate_overnight_percent, reverse_repo_rate_overnight_percent, daily_call_money_rate_high_percent, daily_call_money_rate_low_percent, rbi_reference_rate_inr_per_usd",,RBI Database on Economy,https://data.rbi.org.in/#/dbie/indicators,2025-07-10 00:00:00,2025-07-10 00:00:00,3716,"Provides daily time-series data on key macroeconomic indicators like stock indices (NIFTY, BANKEX), RBI interest rates (repo, reverse repo), and forex rates. Useful for tracking short-term market and monetary trends."
GDP,other_macro_economic_indicators_monthly_data,"date_stamp, m_one_crore, m_two_crore, m_three_crore, domestic_credit_crore, net_bank_credit_to_government_crore, bank_credit_to_commercial_sector_crore, credit_to_the_commercial_sector_by_the_banking_system_crore, sum_of_credit_to_the_government_and_credit_to_the_commercial_se, credit_to_the_government_by_the_banking_system_crore, fiscal_deficit_crore, gross_primary_deficit_crore, on_revenue_account_of_which_interest_payments_crore, total_revenue_crore, total_expenditure_crore, foreign_trade_exports_crore, foreign_trade_imports_crore, wpi_monthly_all_commodity_index, wpi_monthly_manufactured_products_index, market_capitalisation_bse_crore, rbi_balance_sheet_liabilities_crore, rbi_balance_sheet_currency_crore, rbi_balance_sheet_assets_crore, rbi_balance_sheet_loans_total_crore, rbi_balance_sheet_loans_banks_crore, rbi_balance_sheet_loans_governments_crore, rbi_balance_sheet_loans_others_crore, rbi_balance_sheet_domestic_securities_crore, currency_with_the_public_crore, demand_deposits_with_the_banks_crore, other_deposits_with_reserve_bank_crore",,RBI Database on Economy,https://data.rbi.org.in/#/dbie/indicators,2025-06-01 00:00:00,2025-07-10 00:00:00,892,"Contains monthly aggregated data on fiscal metrics, bank credit, trade, inflation (WPI), RBI balance sheet, and monetary aggregates. Ideal for analyzing macroeconomic health, monetary trends, and fiscal performance over time."
GDP,other_macro_economic_indicators_quaterly_data,"date_stamp, all_india_house_price_index_in_units, bop_current_account_balance_crore, bop_current_account_credit_crore, bop_current_account_balance_usd_millions, bop_current_account_debit_crore, bop_current_account_debit_usd_millions, bop_direct_foreign_investment_abroad_net_crore, bop_direct_foreign_investment_abroad_net_usd_million, bop_direct_foreign_investment_india_net_inr_crore, bop_direct_foreign_investment_india_net_usd_million, bop_errors_and_omissions_net_inr_crore, bop_errors_and_omissions_net_usd_million, bop_foreign_direct_investment_india_abroad_net_inr_crore, bop_foreign_direct_investment_india_abroad_net_usd_million, bop_income_net_inr_crore, bop_merchandise_credit_inr_crore, bop_merchandise_debit_inr_crore, bop_merchandise_net_inr_crore, bop_monetary_movements_net_inr_crore, bop_monetary_movements_net_usd_million, bop_other_investment_loans_capital_debt_serivce_net_inr_crore, bop_other_investment_loans_capital_debt_serivce_net_usd_million, bop_portfolio_investment_abroad_net_inr_crore, bop_portfolio_investment_abroad_net_usd_million, bop_portfolio_investment_india_net_inr_crore, bop_portfolio_investment_india_net_usd_million, bop_portfolio_investment_net_crore, bop_portfolio_investment_net_usd_million, bop_gov_services_not_included_elsewhere_net_crore, bop_gov_services_not_included_elsewhere_net_usd_million, bop_services_insurance_net_crore, bop_services_insurance_usd_million, bop_services_crore, bop_services_travel_net_crore, bop_services_travel_net_usd_million, bop_total_capital_account_net_crore, bop_total_capital_account_net_usd_million, bop_transfer_official_credit_crore, bop_transfer_official_credit_usd_million, bop_transfer_official_debit_crore, bop_transfer_official_debit_usd_million, bop_transfer_private_credit_crore, bop_transfer_private_credit_usd_million, bop_transfer_private_debit_crore, bop_transfer_private_debit_usd_million, bop_transfers_total_net_crore, gdp_market_prices_constant, gdp_market_prices_current",,RBI Database on Economy,https://data.rbi.org.in/#/dbie/indicators,2025-01-01 00:00:00,2025-07-10 00:00:00,61,"This dataset captures detailed quarterly Balance of Payments (BoP) metrics, GDP figures (at both constant and current prices), and the All India House Price Index. It includes:BoP components like current account (credits, debits, balance), capital account (FDI, portfolio investment, loans), services trade (travel, insurance), transfers (private and official), and errors & omissions in both INR and USD. Foreign investment flows into and out of India, helping track external sector health."
GDP,other_macro_economic_indicators_weekly_data,"date_stamp, call_money_rate_borrowings_high_percent, call_money_rate_borrowings_low_percent, foreign_currency_assets_crore, foreign_exchange_reserves_crore",,RBI Database on Economy,https://data.rbi.org.in/#/dbie/indicators,2025-06-27 00:00:00,2025-07-10 00:00:00,547,Weekly macroeconomic indicators capturing short-term interest rates (call money borrowing rates) and key foreign reserves data including foreign currency assets and total foreign exchange reserves.
GDP,top_fifty_macro_economic_indicators_fortnightly_data,"date_stamp, investment_in_india_crore, aggregate_desposits_crore, cash_deposit_ratio_rate, credit_deposit_ratio_percentage, m_three_crore, certificates_of_deposit_amount_outstanding_crore",,RBI Database on Economy,https://data.rbi.org.in/#/dbie/indicators,2025-06-13 00:00:00,2025-07-09 00:00:00,202,"Fortnightly snapshot of key macroeconomic indicators such as investment in India, aggregate deposits, money supply (M3), and important banking ratios like cash-deposit and credit-deposit ratios, along with outstanding certificates of deposit."
GDP,top_fifty_macro_economic_indicators_monthly_data,"date_stamp, commercial_paper_amount_outstanding_crores, net_foreign_direct_investment_us_dollars_million, direct_investment_to_india_us_dollars_million, foreign_direct_investment_by_india_us_dollars_million, net_portfolio_investment_us_dollars_million, total_investment_inflows_us_dollars_million, foreign_currency_non_resident_bank_us_dollars_million, external_commercial_borrowings_registrations_us_dollars_million, foreign_trade_exports_total_us_million_dollars, foreign_trade_imports_total_us_million_dollars, foreign_trade_balance_total_us_million_dollars, total_retail_payments_rupee_crore, total_digital_payments_rupee_crore, market_borrowing_sg_gross_amount_raised_rupee_crore, exchange_rate_of_indian_rupee_dollar_month_end",,RBI Database on Economy,https://data.rbi.org.in/#/dbie/indicators,2025-06-01 00:00:00,2025-07-09 00:00:00,93,"Monthly data on major macroeconomic indicators, including foreign direct and portfolio investments, trade metrics (exports, imports, trade balance), digital and retail payments, market borrowings, and the exchange rate of the Indian Rupee against the US Dollar."
GDP,top_fifty_macro_economic_indicators_quaterly_data,"date_stamp, overall_balance_of_payments_net_us_million_dollars, international_investment_position_net_us_miilion_dollars, indias_external_debt_gross_total_us_million_dollars",,RBI Database on Economy,https://data.rbi.org.in/#/dbie/indicators,2025-03-31 00:00:00,2025-07-09 00:00:00,30,"Quarterly data capturing key external sector indicators such as net balance of payments, international investment position, and India's gross external debt in USD million."
GDP,top_fifty_macro_economic_indicators_weekly_data,"date_stamp, forward_premia_of_us_dollar_one_month_percentage, forward_premia_of_us_dollar_three_month_percentage, forward_premia_of_us_dollar_six_month_percentage, reverse_repo_rate_percentage, marginal_standing_facility_rate, bank_rate, base_rate, treasury_bill_91_day_primary_yield_percentage, treasury_bill_182_day_primary_yield_percentage, treasury_bill_364_day_primary_yield_percentage, g_sec_10_year_yield_fbil_percentage, cash_reserve_ratio_percentage, statutory_liquidity_ratio_percentage, policy_repo_rate_percentage, standing_deposit_facility_sdf_rate, foreign_exchange_reserves_us_dollar_million",,RBI Database on Economy,https://data.rbi.org.in/#/dbie/indicators,2025-06-27 00:00:00,2025-07-09 00:00:00,403,"Weekly data on key monetary and financial indicators including policy rates (repo, reverse repo, SDF, MSF, bank rate), treasury bill yields, government bond yields, forward premia of USD, reserve ratios (CRR, SLR), and foreign exchange reserves (in USD million)."
GDP,gst_registrations,"state, normal_taxpayers, composition_taxpayers, input_service_distributor, casual_taxpayers, tax_collector_at_source, tax_deductor_at_source, non_resident_taxpayers, oidar, uin_holders, total
",,RBI Goods and Services,https://www.gst.gov.in/download/gststatistics,2025-05-01 00:00:00,2025-08-08 00:00:00,39,"This dataset presents GST registrations across Indian states by taxpayer type, including normal, composition, TCS, TDS, non-resident, OIDAR, and UIN holders.It helps analyze business distribution, GST scheme adoption, and regional economic activity."
GDP,gst_settlement_of_igst_to_states,"fiscal_year, month, month_numeric, state, regular_settlement_crore, adhoc_settlement_crore, total_crore",,RBI Goods and Services,https://www.gst.gov.in/download/gststatistics,2025-05-01 00:00:00,2025-07-09 00:00:00,2418,"This dataset details monthly IGST settlements from the central government to Indian states, covering both regular and adhoc components.It offers insights into state revenue flows, fiscal dynamics, and the impact of GST on state finances."
GDP,gst_statewise_tax_collection_data,"fiscal_year, state_name, cgst_crore, sgst_crore, igst_crore, cess_crore, total_crore, month",,RBI Goods and Services,https://www.gst.gov.in/download/gststatistics,2025-05-01 00:00:00,2025-07-09 00:00:00,2028,"This dataset records monthly and yearly GST collections for each Indian state, detailing CGST, SGST, IGST, and CESS amounts.It enables trend analysis, state-wise comparisons, and assessment of GST’s contribution to overall revenue."
GDP,gst_statewise_tax_collection_refund_data,"fiscal_year, state_name, cgst_refund_crore, sgst_refund_crore, igst_refund_crore, cess_refund_crore, total_refund_crore, month",,RBI Goods and Services,https://www.gst.gov.in/download/gststatistics,2025-05-01 00:00:00,2025-07-09 00:00:00,1976,"This dataset details monthly and yearly GST refunds for each Indian state, segmented into CGST, SGST, IGST, and CESS.It supports analysis of refund flows, system efficiency, and the fiscal health of states."
GDP,gstr_one,"fiscal_year, month, state, filing_perc_as_on_30th_jun_2025, no_tax_payers_filed_by_due_date, no_of_tax_payers_eligible_to_file, no_of_tax_payers_filed_after_due_date, total_returns_filed",,RBI Goods and Services,https://www.gst.gov.in/download/gststatistics,2025-05-01 00:00:00,2025-07-09 00:00:00,1900,"This dataset tracks GSTR-1 return filing behavior across Indian states, including eligible taxpayers, timely and late filings, totals, and filing percentages.It enables analysis of GST compliance trends, state-wise performance, and changes over time."
GDP,gstr_three_b,"fiscal_year, month, state, filing_perc_as_on_30th_jun_2025, no_tax_payers_filed_by_due_date, no_of_tax_payers_eligible_to_file, no_of_tax_payers_filed_after_due_date, total_returns_filed",,RBI Goods and Services,https://www.gst.gov.in/download/gststatistics,2025-05-01 00:00:00,2025-07-09 00:00:00,1900,"This dataset tracks GSTR-3B filing compliance across Indian states, detailing eligible taxpayers, timely and late filings, totals, and filing percentages.It helps analyze GST compliance trends, state-wise variations, and the effectiveness of tax administration."
GDP,gross_and_net_tax_collection,"category, sub_category, year, month, monthly_value_crore, yearly_value_crore",,RBI Goods and Services,https://www.gst.gov.in/download/gststatistics,2025-05-01 00:00:00,2025-07-09 00:00:00,952,"This dataset details India’s gross and net tax collections, including GST revenues segmented by CGST, SGST, IGST, and CESS, with monthly and yearly figures.It offers insights into revenue trends, GST’s sectoral impact, and the nation’s fiscal health, sourced from the RBI."
GDP,niryat_ite_commodity,"fiscal_year, commodity_group, total_exports_mn_usd, mar_exports_mn_usd, feb_exports_mn_usd, mom_growth_percent, share_percent, updated_on","Contains India’s monthly and cumulative export performance by commodity groups. Useful for tracking trade composition, monthly growth trends, and sectoral export contributions.",National Import Export Record for Yearly Analysis of Trade,https://niryat.gov.in/india,2025-09-03 00:00:00,2025-09-03 00:00:00,64,"Includes export values in million USD, month-on-month growth rates, and share of total exports for major commodity groups such as engineering goods, petroleum, pharmaceuticals, electronics, and textiles. Data is updated monthly by the Government of India via NIRYAT portal."
GDP,niryat_ite_state,"fiscal_year, state_ut, total_exports_mn_usd, mar_exports_mn_usd, feb_exports_mn_usd, mom_growth_percent, share_percent, updated_on",Contains India’s export performance disaggregated by States and Union Territories. Useful for analyzing state-level contribution to total exports and month-on-month growth patterns.,National Import Export Record for Yearly Analysis of Trade,https://niryat.gov.in/india,2025-09-03 00:00:00,2025-09-03 00:00:00,85,"Includes state-wise export values in million USD, monthly growth rates, and share of national exports. Helps assess regional export hubs such as Gujarat, Maharashtra, Tamil Nadu, and others. Data is updated monthly by the Government of India via the NIRYAT portal."
Finance_and_Industry,fpi_india_yr_invtype,"financial_year, equity, debt_general_limit, debt_vrr, debt_far, hybrid, mutual_funds_equity, mutual_funds_debt, mutual_funds_hybrid, mutual_funds_solution_oriented, mutual_funds_other, aif, total_for_fy, cumulative_total, updated_on","FPI yearly investment data by asset type, including equity, debt, hybrid, mutual funds, and alternative investments; cumulative and FY totals",FPI - NSDL,https://www.fpi.nsdl.co.in/web/Reports/ReportsListing.aspx,2025-09-25 00:00:00,2025-09-25 00:00:00,34,"Structured yearly national-level FPI data; can answer queries on annual inflows/outflows, investment composition, trends across asset types, and cumulative totals"
Finance_and_Industry,wages_sector_industry_index,"base_year, sector, industry, year, period_as_on, wri_index, updated_on",Wage Rate Index (WRI) data by sector and industry; includes annual index values for tracking wage trends,Labour Bureau,https://labourbureau.gov.in/wri-index,2025-09-25 00:00:00,2025-09-25 00:00:00,444,"Structured dataset; can answer queries on wage trends across sectors and industries, base year comparison, and temporal changes in wages"
Finance_and_Industry,eshram_state_dly_registrations,"state, district, ssk, csc, self, umang, other_scheme, total_registrations, released_on, updated_on, date_stamp, fiscal_year","Daily registrations data from eShram portal; includes registrations under different schemes (SSK, CSC, Self, UMANG, Other) at state and district levels",eShram,https://eshram.gov.in//dashboard,2025-09-25 00:00:00,2025-09-25 00:00:00,778,"Structured dataset; can answer queries on daily registration counts by state, district, scheme-wise breakdown, and fiscal year aggregation"
Finance_and_Industry,stock_india_mth_boaccounts,"year, month, month_numeric, category, new_accounts, accounts_closed, accounts_end_current, released_on, updated_on, date_stamp","Monthly Depository statistics showing number of BO accounts opened, closed, and total accounts at month end by category",NSDL,https://nsdl.co.in/depository-monthly-statistics.php,2025-09-24 00:00:00,2025-09-24 00:00:00,78,"Structured dataset; can answer queries on monthly trends in new account openings, closures, and total BO accounts by category across India"
Finance_and_Industry,stock_india_mth_dps,"year, month, month_numeric, category, participants_beginning, new_registered, cancelled, participants_end","Monthly Depository statistics showing participant numbers at beginning, new registrations, cancellations, and total at month end by category",NSDL,https://nsdl.co.in/depository-monthly-statistics.php,2025-09-24 00:00:00,2025-09-24 00:00:00,66,"Structured dataset; can answer queries on monthly participant trends, net changes, and category-wise participation across India"
Finance_and_Industry,revenue_maharashtra_fy_category,"fiscal_year, category, sub_category, revenue_in_crore, percent_to_total, description","Maharashtra state revenue by fiscal year, category, sub-category, with revenue in crore and percent contribution",Government of Maharashtra,https://mahades.maharashtra.gov.in/publications.do?pubId=SAMS,2025-09-25 00:00:00,2025-09-25 00:00:00,102,"Structured dataset; supports queries on state revenue trends, category/sub-category breakdowns, and fiscal contribution percentages"
Finance_and_Industry,mf_monthly_schemes,"scheme_category, scheme_type, scheme_name, no_of_schemes, no_of_folios, funds_mobilized_inr_cr, repurchase_redemption_inr_cr, net_inflow_outflow_inr_cr, net_assets_under_management_inr_cr, average_net_assets_under_management_inr_cr, no_of_segregated_portfolios, net_assets_segregated_portfolio_inr_cr, month, month_numeric, year, fiscal_year, released_on, data_source","Mutual fund monthly schemes data including inflows, outflows, net assets, and portfolio details",AMFI,https://www.amfiindia.com/research-information/amfi-monthly,2025-09-25 00:00:00,2025-09-25 00:00:00,1037,"Structured dataset; enables analysis of monthly mutual fund trends, scheme performance, inflows/outflows, and net assets under management"
Finance_and_Industry,statewise_petroleum_consumption,"state, quantity_in_000_tonne, fiscal_year",State-wise petroleum consumption in 000 tonnes for different fiscal years,NITI Aayog - ICED,https://iced.niti.gov.in/energy/fuel-sources/oil/consumption,2025-09-25 00:00:00,2025-09-25 00:00:00,188,Structured dataset; allows analysis of state-level petroleum consumption trends over fiscal years
Finance_and_Industry,co2_emissions_by_fuel_yearly,"year, coal_mt_co2, oil_gas_mt_co2, updated_on",Yearly CO2 emissions from coal and oil & gas sources,NITI Aayog - ICED,https://iced.niti.gov.in/energy/electricity/generation/co2-emission,2025-09-25 00:00:00,2025-09-25 00:00:00,17,Structured dataset; supports analysis of annual CO2 emission trends by fuel type
Finance_and_Industry,quick_estimates_major_commodities_july_export,"commodity, value_inr_crore_jul24, value_inr_crore_apr24_jul24, value_inr_crore_jul25, value_inr_crore_apr25_jul25, percent_change_inr_jul25_vs_jul24, percent_change_inr_apr25_jul25_vs_apr24_jul24",Quick estimates of export values of major commodities for July 2025 and comparison with previous periods,Ministry of Commerce & Industry,https://www.commerce.gov.in/wp-content/uploads/2025/08/Quick-Estimates-July-2025.pdf,2025-07-01 00:00:00,2025-07-01 00:00:00,32,Structured dataset; supports analysis of monthly export trends and percent change by commodity
Finance_and_Industry,quick_estimates_major_commodities_july_import,"commodity, value_inr_crore_jul24, value_inr_crore_apr24_jul24, value_inr_crore_jul25, value_inr_crore_apr25_jul25, percent_change_inr_jul25_vs_jul24, percent_change_inr_apr25_jul25_vs_apr24_jul24",Quick estimates of import values of major commodities for July 2025 and comparison with previous periods,Ministry of Commerce & Industry,https://www.commerce.gov.in/wp-content/uploads/2025/08/Quick-Estimates-July-2025.pdf,2025-07-01 00:00:00,2025-07-01 00:00:00,32,Structured dataset; supports analysis of monthly import trends and percent change by commodity
Finance_and_Industry,statewise_cumulative_renewable_power,"state_ut, year, small_hydro, wind, bio_power, waste_to_energy, solar, total, growth_rate_percent, released_on, updated_on, data_source, fiscal_year, date_stamp","Cumulative renewable power capacity by state/UT including small hydro, wind, bio power, waste-to-energy, solar; growth rates and fiscal year details included",MoSPI - Energy Statistics Division,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=Energy+Statistics+India,2025-03-27 00:00:00,2025-09-25 00:00:00,78,Structured dataset; supports analysis of renewable energy capacity trends across states and energy sources
Finance_and_Industry,marketcap_nse_india_mth,"fiscal_year, month, month_numeric, market_cap_in_lakhs, updated_on","Monthly market capitalization of NSE-listed companies in lakhs; includes fiscal year, month, and update details",RBI - Database on Indian Economy,https://data.rbi.org.in/#/dbie/reports/Statistics/Financial%20Market/Equity%20and%20Corporate%20Debt%20Market,2025-07-31 00:00:00,2025-09-25 00:00:00,28,Structured dataset; enables tracking of NSE market capitalization trends month-wise and fiscal year-wise
